"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3086","should display the login form heading","Google Chrome","Mon Apr 27 08:29:33 IST 2026","passed","Mon Apr 27 08:29:36 IST 2026","Login Page Tests > UI Validation","web\specs\login.spec.ts","",""
"","16229","should handle username with leading/trailing spaces","Google Chrome","Mon Apr 27 08:30:13 IST 2026","failed","Mon Apr 27 08:30:29 IST 2026","Login Page Tests > Edge Tests","web\specs\login.spec.ts","",""
"","1672","should not login with empty password (HTML validation)","chromium","Mon Apr 27 08:28:21 IST 2026","passed","Mon Apr 27 08:28:23 IST 2026","Login Page Tests > Negative Tests","web\specs\login.spec.ts","",""
"","11631","should allow clearing fields and re-entering data","chromium","Mon Apr 27 08:28:52 IST 2026","failed","Mon Apr 27 08:29:03 IST 2026","Login Page Tests > Edge Tests","web\specs\login.spec.ts","",""
"","13374","should handle very long username input","Google Chrome","Mon Apr 27 08:30:41 IST 2026","failed","Mon Apr 27 08:30:54 IST 2026","Login Page Tests > Edge Tests","web\specs\login.spec.ts","",""
"","13869","should login successfully with valid credentials","Google Chrome","Mon Apr 27 08:29:33 IST 2026","failed","Mon Apr 27 08:29:47 IST 2026","Login Page Tests > Positive Tests","web\specs\login.spec.ts","",""
"","5843","should not login with empty username (HTML validation)","Google Chrome","Mon Apr 27 08:29:56 IST 2026","passed","Mon Apr 27 08:30:01 IST 2026","Login Page Tests > Negative Tests","web\specs\login.spec.ts","",""
"","6661","should not login with empty password (HTML validation)","Google Chrome","Mon Apr 27 08:29:56 IST 2026","passed","Mon Apr 27 08:30:03 IST 2026","Login Page Tests > Negative Tests","web\specs\login.spec.ts","",""
"","11747","should show error for case-sensitive password","chromium","Mon Apr 27 08:28:24 IST 2026","failed","Mon Apr 27 08:28:36 IST 2026","Login Page Tests > Negative Tests","web\specs\login.spec.ts","",""
"","11681","should handle XSS attempt in username","chromium","Mon Apr 27 08:28:41 IST 2026","failed","Mon Apr 27 08:28:53 IST 2026","Login Page Tests > Edge Tests","web\specs\login.spec.ts","",""
"","11392","should allow multiple login attempts","chromium","Mon Apr 27 08:28:56 IST 2026","failed","Mon Apr 27 08:29:07 IST 2026","Login Page Tests > Edge Tests","web\specs\login.spec.ts","",""
"","14604","should handle XSS attempt in username","Google Chrome","Mon Apr 27 08:30:24 IST 2026","failed","Mon Apr 27 08:30:38 IST 2026","Login Page Tests > Edge Tests","web\specs\login.spec.ts","",""
"","13868","should allow multiple login attempts","Google Chrome","Mon Apr 27 08:30:44 IST 2026","failed","Mon Apr 27 08:30:58 IST 2026","Login Page Tests > Edge Tests","web\specs\login.spec.ts","",""
"","11820","should show error for invalid username","chromium","Mon Apr 27 08:28:05 IST 2026","failed","Mon Apr 27 08:28:16 IST 2026","Login Page Tests > Negative Tests","web\specs\login.spec.ts","",""
"","1801","should show success message with correct username","chromium","Mon Apr 27 08:28:04 IST 2026","failed","Mon Apr 27 08:28:06 IST 2026","Login Page Tests > Positive Tests","web\specs\login.spec.ts","",""
